date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,city
2014/5/12 0:00,238750,3,1,1830,8209,1,0,0,3,1830,0,1942,1999,Kenmore
2014/5/12 0:00,268971.875,4,2.5,2380,7066,2,0,0,4,2380,0,1997,0,Kent
2014/5/12 0:00,642000,4,2.5,2550,10000,1,0,0,3,1290,1260,1964,2000,Bellevue
2014/5/12 0:00,571986.1111,3,2.5,3720,11610,2,0,0,3,3720,0,1982,0,Sammamish
2014/5/12 0:00,0,5,4.5,4630,6324,2,0,0,3,3210,1420,2006,0,Snoqualmie
2014/5/13 0:00,0,5,4,4430,9000,2,0,0,3,4430,0,2013,1923,Bellevue
2014/5/13 0:00,554250,3,2.5,1490,1709,3,0,0,3,1490,0,2004,2003,Seattle
2014/5/13 0:00,0,4,4.5,5030,11023,2,0,2,3,3250,1780,2008,0,Mercer Island
2014/5/13 0:00,0,4,1.5,2180,22870,1,0,0,4,1280,900,1954,1975,Kent
2014/5/14 0:00,107500,4,1.5,1590,131551,1,0,3,4,1590,0,1966,0,Enumclaw
2014/5/15 0:00,300000,3,2,1510,7066,1,0,2,3,1230,280,1973,2013,Seattle
2014/5/15 0:00,0,4,3.5,4210,10308,2,0,0,3,4210,0,2006,0,Bellevue
2014/5/15 0:00,540833.3333,3,2,1640,9972,1,0,0,4,1640,0,1977,0,Sammamish
2014/5/15 0:00,274750,4,2.5,1840,1562,2,0,0,3,1400,440,2004,2003,Seattle
2014/5/15 0:00,148612.5,3,1,1040,5000,1,0,0,3,1040,0,1959,1989,Seattle
2014/5/16 0:00,326428.5714,3,1,1250,4800,1,0,0,4,1250,0,1951,1999,Seattle
2014/5/16 0:00,0,5,3.25,3690,12353,2,0,0,5,3690,0,1977,0,Lake Forest Park
2014/5/16 0:00,135333.3333,4,1,1530,7200,1.5,0,0,3,1400,130,1948,1994,Seattle
2014/5/16 0:00,577437.5,4,2.5,2110,3750,2,0,0,3,2110,0,2000,0,Seattle
2014/5/16 0:00,440825,3,1.75,2150,4333,1,0,0,3,1200,950,1956,2001,Seattle
2014/5/19 0:00,195000,5,3.75,5340,10655,2.5,0,3,4,3740,1600,1912,1989,Seattle
2014/5/19 0:00,257500,4,1.75,2420,7672,1,0,0,3,1480,940,1979,2014,Issaquah
2014/5/19 0:00,692000,4,3.25,5010,34460,2,0,0,3,5010,0,1988,2000,Bellevue
2014/5/19 0:00,176400,2,1,910,9612,1,0,0,4,910,0,1981,0,Renton
2014/5/19 0:00,193000,3,1.5,2200,5000,1.5,0,0,3,2200,0,1932,0,Seattle
2014/5/19 0:00,646212.5,4,2.5,3430,64441,2,0,0,3,3430,0,2013,1923,Woodinville
2014/5/20 0:00,268971.875,4,2.5,1860,6687,1,0,0,4,1220,640,1983,0,Kent
2014/5/20 0:00,0,4,3.75,3300,4545,1.5,0,4,3,2600,700,1926,1999,Seattle
2014/5/20 0:00,317061.875,3,1.75,1280,10716,1,0,0,4,1280,0,1969,0,Renton
2014/5/20 0:00,83300,3,2,1490,7770,1,0,0,4,1490,0,1990,0,Covington
2014/5/21 0:00,0,5,2.25,2880,11965,2,0,0,4,2880,0,1990,0,Covington
2014/5/21 0:00,266066.6667,4,1,1310,5200,1.5,0,0,3,1160,150,1945,2010,Seattle
2014/5/22 0:00,342246.4286,4,2.5,1980,7403,2,0,0,3,1980,0,1988,2000,Federal Way
2014/5/22 0:00,0,5,2.25,2000,7900,1,0,0,4,1300,700,1986,0,SeaTac
2014/5/22 0:00,0,3,3,1860,7440,1,0,0,5,1040,820,1954,0,Seattle
2014/5/22 0:00,0,4,3,1990,6180,2,0,0,3,1990,0,1990,2009,Federal Way
2014/5/22 0:00,240015.3333,4,2.25,1720,8300,1,0,0,4,1720,0,1973,0,Federal Way
2014/5/23 0:00,83300,3,2,1370,78408,1,0,0,5,1370,0,1964,0,Covington
2014/5/23 0:00,316850,4,3,4060,35621,1,0,0,3,2030,2030,1989,0,Auburn
2014/5/23 0:00,259585.5714,4,2.5,1960,9898,2,0,0,3,1960,0,2001,0,Kent
2014/5/27 0:00,328211.9048,4,2.5,1720,9600,1,0,0,3,1120,600,1961,2004,Auburn
2014/5/27 0:00,673476.8182,4,2.5,2740,12899,2,0,0,4,2740,0,1990,0,Sammamish
2014/5/27 0:00,0,4,1,1360,13372,1,0,0,3,1360,0,1955,2005,Kenmore
2014/5/27 0:00,425000,3,2.5,1870,5449,2,0,0,3,1870,0,2003,0,Bothell
2014/5/28 0:00,127160,2,1,720,4222,1,0,0,4,720,0,1942,1982,Renton
2014/5/28 0:00,341750,3,2.25,2180,7741,2,0,0,3,2180,0,1986,0,Sammamish
2014/5/28 0:00,178650,3,1.5,1430,8960,1,0,0,4,1430,0,1953,1983,Burien
2014/5/28 0:00,87500,2,1,780,6685,1,0,0,4,780,0,1948,0,Auburn
2014/5/28 0:00,282508.8889,3,1,1180,5002,1.5,0,0,3,1180,0,1946,0,Shoreline
2014/5/28 0:00,450385.7143,3,2,1300,3731,1,0,0,3,900,400,1993,0,Seattle
2014/5/28 0:00,435000,4,3,4260,18000,2,0,2,3,4260,0,2000,0,Mercer Island
2014/5/28 0:00,532500,2,1.75,2050,11900,1,0,0,4,2050,0,1950,1983,Bellevue
2014/5/29 0:00,408900,3,1.75,2930,19876,1,0,0,3,2030,900,1993,0,Woodinville
2014/5/29 0:00,156766.6667,2,1,1500,4120,1.5,0,0,3,880,620,1928,1954,Renton
2014/5/29 0:00,452500,5,3.5,5960,13703,2,0,2,3,4770,1190,1984,0,Bellevue
2014/5/29 0:00,308830.7692,2,1,810,4800,1,0,0,3,810,0,1919,2001,Seattle
2014/5/29 0:00,484991.6667,4,2.75,2320,4344,2,0,0,3,2320,0,2012,1912,Renton
2014/5/30 0:00,287919.7826,2,1,1090,5000,1,0,0,4,730,360,1942,1982,Seattle
2014/5/30 0:00,247875,2,1,1000,4776,1,0,0,4,1000,0,1942,1982,Seattle
2014/5/30 0:00,309487.5,3,2.5,2260,19821,2,0,0,3,2260,0,1994,0,Renton
2014/5/30 0:00,173666.6667,4,1,1290,5000,1.5,0,0,3,1290,0,1957,2000,Seattle
2014/5/30 0:00,237481.25,3,2,2120,7560,1,0,0,3,2120,0,1991,0,Renton
2014/5/30 0:00,326983.3333,3,2.25,1490,4522,2,0,0,3,1490,0,2009,0,Kenmore
2014/5/30 0:00,790000,4,2.5,2310,5100,2,0,0,3,2310,0,2013,1923,Seattle
2014/6/2 0:00,0,1,1,720,6000,1,0,0,3,720,0,1940,1996,Seattle
2014/6/2 0:00,678333.3333,3,2.5,1840,3035,1,0,0,3,920,920,1926,2003,Seattle
2014/6/2 0:00,542804.75,5,2.75,2910,36250,1,0,0,3,1590,1320,1977,2004,Sammamish
2014/6/2 0:00,723243.75,4,2.75,3270,12880,2,0,0,3,3270,0,2014,0,Kirkland
2014/6/3 0:00,667781.25,5,2.75,3040,10257,2,0,0,3,3040,0,1993,0,Bellevue
2014/6/3 0:00,108333.3333,3,1,1200,9936,1,0,0,4,1200,0,1969,0,Maple Valley
2014/6/3 0:00,0,5,2.75,2740,5616,1.5,0,0,5,1670,1070,1925,0,Seattle
2014/6/3 0:00,535000,4,2.25,2290,5350,2,0,0,4,2120,170,1958,1972,Seattle
2014/6/3 0:00,596165.4286,4,2,2580,6000,1,0,0,5,1300,1280,1950,0,Seattle
2014/6/3 0:00,269187.5,3,1.75,1590,27200,1.5,0,0,4,1590,0,1926,1993,Maple Valley
2014/6/3 0:00,148612.5,3,1,1040,6860,2,0,0,3,1040,0,1942,1999,Seattle
2014/6/3 0:00,0,3,1,1300,6710,1,0,0,4,1300,0,1952,0,Mercer Island
2014/6/3 0:00,0,5,2.5,2090,4698,2,0,0,3,2090,0,1998,2006,Maple Valley
2014/6/3 0:00,341166.6667,5,2.75,2670,3800,2,0,0,3,2670,0,2014,0,Renton
2014/6/4 0:00,132500,4,1,1540,115434,1.5,0,0,4,1540,0,1923,0,Kent
2014/6/4 0:00,557125,4,2.75,3370,12447,2,0,0,3,3370,0,1991,0,Woodinville
2014/6/4 0:00,228944.4444,3,1.75,1730,11325,1,0,0,5,1730,0,1972,0,Kent
2014/6/5 0:00,592105.7143,3,2.5,1640,29970,2,0,0,3,1640,0,1992,0,Redmond
2014/6/5 0:00,535000,4,2.25,2980,8051,1.5,0,2,4,2020,960,1935,0,Seattle
2014/6/5 0:00,420642.8571,3,2,1330,8100,1,0,0,4,1330,0,1969,0,Kirkland
2014/6/5 0:00,132250,4,2.25,2192,12128,2,0,0,3,2192,0,2006,0,Kent
2014/6/5 0:00,237227.8571,4,2.5,2068,7242,2,0,0,4,2068,0,1976,1992,Auburn
2014/6/5 0:00,440825,3,1.75,1980,6250,1,0,1,5,1090,890,1910,0,Seattle
2014/6/5 0:00,2560498.333,3,2.5,1710,1664,2,0,0,5,1300,410,2003,0,Seattle
2014/6/6 0:00,423050.9259,2,1,890,4590,1,0,0,3,890,0,1923,1998,Seattle
2014/6/6 0:00,1337044.2,4,3.5,4280,9583,2,0,0,3,4280,0,2005,0,Bellevue
2014/6/6 0:00,315368.7,3,2.5,3080,12476,2,0,0,3,3080,0,1990,2009,Maple Valley
2014/6/6 0:00,417985.7143,4,2.25,2070,7500,2,0,0,4,2070,0,1977,0,Kirkland
2014/6/6 0:00,723243.75,4,2.75,3010,7215,2,0,0,3,3010,0,2014,0,Kirkland
2014/6/9 0:00,259950,4,2,2030,9300,1,0,0,4,2030,0,1976,1992,Redmond
2014/6/9 0:00,0,4,3.75,4060,19290,2,0,0,3,4060,0,2002,0,Sammamish
2014/6/10 0:00,237333.3333,3,2.75,2340,16500,1,0,0,4,1500,840,1972,0,Sammamish
2014/6/10 0:00,426090,3,2.5,2340,5957,2,0,0,3,2340,0,1995,0,Kenmore
2014/6/10 0:00,458663.8889,2,1,1470,7137,1,0,0,3,1020,450,1941,1994,Seattle
2014/6/10 0:00,812650,4,2.5,3700,21755,1,0,4,3,2620,1080,1988,2000,Bellevue
2014/6/10 0:00,135333.3333,4,1,1200,7200,1.5,0,0,3,1200,0,1944,0,Seattle
2014/6/11 0:00,0,5,2.75,2910,53898,1,0,0,5,1510,1400,1979,0,Woodinville
2014/6/11 0:00,0,5,2,1910,7200,1,0,0,4,1110,800,1951,1999,Seattle
2014/6/11 0:00,0,3,2.5,2880,13500,1,0,4,5,1520,1360,1950,0,Clyde Hill
2014/6/11 0:00,0,5,2.75,3240,6863,2,0,0,3,3240,0,2013,1923,Renton
2014/6/12 0:00,387884.6154,3,1.75,1590,8219,1.5,0,0,5,970,620,1938,0,Kirkland
2014/6/12 0:00,437500,5,3.5,3690,11928,2,0,0,3,2540,1150,2006,0,Sammamish
2014/6/12 0:00,641633.3333,3,2.5,2480,5137,2,0,0,3,2480,0,2000,0,Redmond
2014/6/12 0:00,681965.7813,4,2.5,2683,40386,2,0,0,4,2683,0,1987,0,Redmond
2014/6/12 0:00,229629.5,2,1,1100,8281,1,0,0,4,1100,0,1947,1988,Shoreline
2014/6/12 0:00,0,4,1,2080,3500,1.5,0,0,5,1260,820,1926,0,Seattle
2014/6/12 0:00,210614.2857,3,2.5,2210,10119,1,0,0,4,1450,760,1966,0,Kent
2014/6/12 0:00,790000,4,3.25,2420,4000,1.5,0,0,5,1870,550,1911,1984,Seattle
2014/6/12 0:00,435500,3,3.5,1240,1666,2,0,0,3,1000,240,2008,0,Seattle
2014/6/13 0:00,738190.8571,3,2.5,2300,3060,1.5,0,0,3,1510,790,1930,2002,Seattle
2014/6/13 0:00,497333.3333,3,1.75,1760,12874,1,0,0,4,1230,530,1967,0,Bellevue
2014/6/13 0:00,300000,3,2,2020,8555,1,0,0,4,1220,800,1957,2001,Seattle
2014/6/15 0:00,1036200,4,3.25,2500,5801,1.5,0,0,3,1960,540,1926,2003,Seattle
2014/6/16 0:00,163785.7143,2,1,760,5500,1.5,0,0,3,760,0,1947,2012,Seattle
2014/6/16 0:00,351250,4,1.75,1580,5340,1,0,0,3,1130,450,1947,2012,Seattle
2014/6/17 0:00,645325,3,2.5,2670,10481,2,0,0,3,2670,0,2003,0,Kirkland
2014/6/17 0:00,171224.8,3,1,1140,8366,1,0,0,5,1140,0,1943,0,Renton
2014/6/17 0:00,0,5,3.75,3870,8225,2,0,0,3,3870,0,1998,2006,Sammamish
2014/6/17 0:00,540000,3,2.75,2750,18029,1,0,2,5,1810,940,1978,0,Bellevue
2014/6/17 0:00,233166.6667,3,2,1570,7000,2,0,2,4,1050,520,1971,0,Seattle
2014/6/17 0:00,329333.3333,3,1.75,1160,22470,1,0,0,4,1160,0,1976,1992,Kenmore
2014/6/17 0:00,225279.4286,3,2.25,2110,7665,1,0,0,4,1360,750,1973,0,Federal Way
2014/6/17 0:00,331366.6667,3,2.5,1270,2509,2,0,0,3,1270,0,2004,2003,Seattle
2014/6/17 0:00,460886.9231,4,2.5,3250,4500,2,0,0,3,3250,0,2009,0,Renton
2014/6/18 0:00,337945.75,2,1,940,9839,1,0,0,3,940,0,1910,2006,Seattle
2014/6/18 0:00,0,4,1.5,2310,68824,2,0,0,4,2310,0,1968,0,Black Diamond
2014/6/18 0:00,243069.2308,3,1,1130,12519,1,0,0,3,1130,0,1958,2004,Renton
2014/6/18 0:00,0,6,3,3020,13783,2,0,0,3,3020,0,1952,2002,Mercer Island
2014/6/18 0:00,690408.6207,4,2.5,3210,14910,2,0,0,3,3210,0,1995,0,Sammamish
2014/6/19 0:00,592105.7143,3,2.5,2650,40705,2,0,0,3,2650,0,1994,0,Redmond
2014/6/19 0:00,220083.3333,3,1.75,1150,8079,1,0,0,4,1150,0,1983,0,Kent
2014/6/19 0:00,280000,3,3,3910,19023,2,0,0,3,3910,0,1985,0,Carnation
2014/6/19 0:00,297857.1429,4,2.5,3490,5000,2,0,0,3,3490,0,2003,0,Covington
2014/6/19 0:00,950833.3333,5,3,3330,19126,2,0,0,4,2610,720,1977,0,Mercer Island
2014/6/19 0:00,323833.3333,4,1,1940,5753,1.5,0,0,3,1940,0,1947,2012,Seattle
2014/6/19 0:00,309000,3,2.5,1800,2700,2,0,0,3,1800,0,2011,0,Seattle
2014/6/20 0:00,248400,3,1.75,1880,11249,1,0,0,3,1330,550,1985,0,Auburn
